notice_id,portal_id,candidate_count,retrieval_time_ms
N008386,P002,2301,0.083
N008394,P044,495,0.034
N008402,P003,1612,0.054
N008410,P070,333,0.024
N008418,P001,2534,0.099
N008426,P137,3185,0.093
N008434,P003,1357,0.058
N008442,P001,1543,0.056
N008450,P006,1116,0.053
N008458,P094,900,0.029
N008466,P214,1115,0.036
N008474,P059,858,0.029
N008482,P096,1698,0.047
N008490,P005,1773,0.074
N008498,P094,664,0.033
N008506,P194,1240,0.039
N008514,P237,804,0.028
N008522,P096,804,0.033
N008530,P002,2185,0.088
N008538,P094,1661,0.053
N008546,P240,3149,0.082
N008554,P215,411,0.034
N008562,P004,1806,0.071
N008570,P143,2037,0.051
N008578,P005,1529,0.066
N008586,P235,255,0.021
N008594,P094,1161,0.031
N008602,P071,863,0.028
N008610,P096,1192,0.169
N008618,P094,2150,0.061
N008626,P094,2534,0.224
N008634,P004,1498,0.116
N008642,P002,2300,0.179
N008650,P001,2191,0.197
N008658,P094,1284,0.066
N008666,P006,1170,0.057
N008674,P005,2535,0.151
N008682,P004,1351,0.075
N008690,P168,1012,0.043
N008698,P136,1283,0.041
N008706,P094,2116,0.049
N008714,P006,1088,0.048
N008722,P096,1344,0.047
N008730,P073,2621,0.073
N008738,P002,2301,0.118
N008746,P002,1986,0.078
N008754,P005,2475,0.136
N008762,P004,1468,0.086
N008770,P013,133,0.019
N008778,P240,1121,0.036
N008786,P096,2192,0.065
N008794,P003,1590,0.063
N008802,P221,389,0.023
N008810,P031,1613,0.063
N008818,P240,1181,0.043
N008826,P042,442,0.026
N008834,P177,722,0.044
N008842,P058,437,0.026
N008850,P071,2290,0.054
N008858,P078,2560,0.096
N008866,P098,2512,0.068
N008874,P087,2730,0.078
N008882,P116,895,0.046
N008890,P004,1530,0.054
N008898,P181,1658,0.052
N008906,P057,1961,0.065
N008914,P120,2453,0.073
N008922,P020,2071,0.059
N008930,P200,2222,0.054
N008938,P004,1651,0.073
N008946,P240,1214,0.037
N008954,P042,1226,0.043
N008962,P002,2303,0.103
N008970,P003,874,0.047
N008978,P020,1150,0.039
N008986,P089,946,0.03
N008994,P227,360,0.023
N009002,P004,1141,0.05
N009010,P003,1343,0.061
N009018,P137,1295,0.052
N009026,P215,520,0.028
N009034,P209,261,0.019
N009042,P004,1452,0.054
N009050,P094,1204,0.034
N009058,P006,1513,0.048
N009066,P001,2208,0.103
N009074,P002,1562,0.071
N009082,P240,517,0.028
N009090,P181,1473,0.055
N009098,P146,1002,0.039
N009106,P002,1650,0.065
N009114,P006,1414,0.051
N009122,P005,2216,0.09
N009130,P056,1647,0.055
N009138,P046,182,0.021
N009146,P020,2264,0.049
N009154,P167,1257,0.051
N009162,P002,1832,0.07
N009170,P105,2764,0.069
N009178,P096,226,0.029
N009186,P181,1888,0.048
N009194,P094,1980,0.067
N009202,P002,1979,0.089
N009210,P180,294,0.026
N009218,P057,1284,0.028
N009226,P002,1113,0.044
N009234,P006,1742,0.061
N009242,P001,2417,0.099
N009250,P240,1849,0.063
N009258,P094,2547,0.075
N009266,P002,2408,0.092
N009274,P061,493,0.038
N009282,P131,434,0.021
N009290,P094,2044,0.039
N009298,P020,1170,0.042
N009306,P001,2442,0.109
N009314,P021,1191,0.046
N009322,P020,1140,0.035
N009330,P225,2209,0.049
N009338,P094,808,0.041
N009346,P006,1751,0.076
N009354,P246,729,0.036
N009362,P094,1197,0.03
N009370,P002,2301,0.094
N009378,P215,2400,0.066
N009386,P003,1061,0.049
N009394,P141,533,0.026
N009402,P094,1219,0.043
N009410,P003,1819,0.083
N009418,P094,383,0.027
N009426,P005,2259,0.097
N009434,P088,240,0.027
N009442,P182,812,0.028
N009450,P146,1707,0.04
N009458,P207,1800,0.063
N009466,P046,176,0.02
N009474,P047,2923,0.071
N009482,P073,1618,0.061
N009490,P225,3074,0.074
N009498,P004,1320,0.068
N009506,P006,1022,0.04
N009514,P004,907,0.037
N009522,P061,715,0.023
N009530,P094,1982,0.045
N009538,P005,2426,0.111
N009546,P002,1751,0.082
N009554,P073,2805,0.068
N009562,P002,2186,0.109
N009570,P106,353,0.03
N009578,P004,1405,0.053
N009586,P094,2219,0.055
N009594,P006,1105,0.055
N009602,P251,692,0.03
N009610,P054,1340,0.041
N009618,P148,2122,0.047
N009626,P140,121,0.024
N009634,P001,2254,0.084
N009642,P006,1003,0.049
N009650,P005,2389,0.114
N009658,P094,562,0.037
N009666,P002,2368,0.09
N009674,P020,2948,0.093
N009682,P240,449,0.034
N009690,P240,2350,0.073
N009698,P005,2242,0.099
N009706,P141,574,0.035
N009714,P018,1979,0.041
N009722,P202,1030,0.033
N009730,P042,2186,0.05
N009738,P003,1651,0.059
N009746,P232,3128,0.088
N009754,P094,2454,0.084
N009762,P006,991,0.057
N009770,P136,1184,0.036
N009778,P228,2180,0.06
N009786,P094,994,0.037
N009794,P199,1498,0.046
N009802,P004,836,0.039
N009810,P045,458,0.022
N009818,P002,2207,0.083
N009826,P004,1557,0.063
N009834,P044,1190,0.033
N009842,P005,2371,0.091
N009850,P235,1815,0.068
N009858,P004,1546,0.064
N009866,P240,1279,0.04
N009874,P020,169,0.017
N009882,P003,1368,0.05
N009890,P191,1515,0.046
N009898,P200,558,0.025
N009906,P232,1345,0.029
N009914,P047,1159,0.041
N009922,P006,1149,0.053
N009930,P151,277,0.022
N009938,P003,1484,0.042
N009946,P232,387,0.024
N009954,P061,924,0.034
N009962,P002,2122,0.077
N009970,P094,380,0.028
N009978,P001,1881,0.068
N009986,P240,2651,0.093
N009994,P003,638,0.042
N010002,P120,1221,0.031
N010010,P033,2145,0.048
N010018,P004,1783,0.074
N010026,P094,1644,0.052
N010034,P098,2091,0.05
N010042,P003,672,0.04
N010050,P085,539,0.022
N010058,P003,1400,0.05
N010066,P140,84,0.017
N010074,P120,380,0.012
N010082,P001,2457,0.067
N010090,P180,294,0.027
N010098,P088,570,0.021
N010106,P002,2074,0.069
N010114,P056,2525,0.067
N010122,P240,1220,0.041
N010130,P004,1885,0.08
N010138,P004,989,0.046
N010146,P179,991,0.032
N010154,P215,2407,0.067
N010162,P147,2582,0.079
N010170,P002,2065,0.086
N010178,P094,1904,0.048
N010186,P003,1189,0.049
N010194,P026,398,0.02
N010202,P002,2320,0.111
N010210,P005,2201,0.096
N010218,P036,2210,0.058
N010226,P004,1074,0.052
N010234,P094,1400,0.033
N010242,P094,1505,0.05
N010250,P181,775,0.034
N010258,P221,65,0.013
N010266,P005,2273,0.111
N010274,P256,2366,0.065
N010282,P004,1488,0.064
N010290,P003,1270,0.043
N010298,P002,2383,0.112
N010306,P006,1367,0.066
N010314,P001,2089,0.076
N010322,P116,2411,0.072
N010330,P005,2144,0.091
N010338,P089,656,0.038
N010346,P003,424,0.024
N010354,P094,505,0.021
N010362,P002,2233,0.094
N010370,P213,2699,0.082
N010378,P059,165,0.028
N010386,P057,1005,0.029
N010394,P006,1928,0.089
N010402,P097,2770,0.077
N010410,P002,2243,0.113
N010418,P240,1905,0.068
N010426,P094,911,0.036
N010434,P120,942,0.027
N010442,P240,2623,0.063
N010450,P044,767,0.041
N010458,P001,2233,0.091
N010466,P020,2160,0.071
N010474,P001,2249,0.089
N010482,P065,1449,0.056
N010490,P006,1859,0.081
N010498,P107,183,0.021
N010506,P058,2000,0.04
N010514,P002,2452,0.118
N010522,P003,1632,0.074
N010530,P002,1720,0.068
N010538,P005,2228,0.081
N010546,P195,758,0.042
N010554,P021,1381,0.048
N010562,P122,195,0.021
N010570,P001,2190,0.073
N010578,P039,1350,0.098
N010586,P258,380,0.024
N010594,P094,426,0.024
N010602,P091,2710,0.071
N010610,P163,683,0.041
N010618,P001,2307,0.103
N010626,P047,1125,0.044
N010634,P005,2266,0.088
N010642,P120,190,0.025
N010650,P002,2180,0.073
N010658,P013,228,0.026
N010666,P006,1718,0.06
N010674,P004,1716,0.066
N010682,P255,725,0.036
N010690,P094,1936,0.044
N010698,P237,2331,0.079
N010706,P094,2597,0.082
N010714,P004,1426,0.076
N010722,P227,336,0.024
N010730,P006,1667,0.089
N010738,P181,1033,0.039
N010746,P005,2052,0.08
N010754,P004,1526,0.072
N010762,P200,1954,0.06
N010770,P094,1918,0.064
N010778,P001,2243,0.106
N010786,P005,1940,0.066
N010794,P100,2331,0.071
N010802,P001,1364,0.059
N010810,P180,154,0.02
N010818,P003,729,0.032
N010826,P006,1149,0.049
N010834,P046,97,0.017
N010842,P002,2304,0.108
N010850,P003,1229,0.062
N010858,P003,1399,0.063
N010866,P004,1663,0.07
N010874,P094,1585,0.05
N010882,P259,1789,0.248
N010890,P003,1290,0.094
N010898,P044,2085,0.07
N010906,P003,1647,0.108
N010914,P240,827,0.048
N010922,P191,963,0.035
N010930,P202,2467,0.074
N010938,P094,1000,0.043
N010946,P214,1917,0.052
N010954,P094,2939,0.083
N010962,P216,912,0.039
N010970,P094,790,0.033
N010978,P227,699,0.027
N010986,P001,2108,0.086
N010994,P166,386,0.03
N011002,P181,1309,0.047
N011010,P094,1923,0.066
N011018,P186,1118,0.035
N011026,P225,2790,0.072
N011034,P038,448,0.036
N011042,P105,1404,0.04
N011050,P094,616,0.028
N011058,P147,2184,0.048
N011066,P006,1070,0.05
N011074,P003,1068,0.042
N011082,P094,1406,0.044
N011090,P003,1189,0.05
N011098,P190,968,0.042
N011106,P239,3045,0.087
N011114,P241,783,0.046
N011122,P003,1623,0.058
N011130,P006,1268,0.06
N011138,P240,1875,0.041
N011146,P001,2103,0.08
N011154,P005,2415,0.135
N011162,P013,184,0.029
N011170,P006,787,0.031
N011178,P002,2244,0.094
N011186,P068,580,0.037
N011194,P004,1223,0.033
N011202,P156,1103,0.041
N011210,P006,984,0.039
N011218,P006,1412,0.057
N011226,P004,1337,0.063
N011234,P004,680,0.042
N011242,P020,969,0.032
N011250,P227,1088,0.033
N011258,P002,1931,0.074
N011266,P020,299,0.024
N011274,P020,1466,0.049
N011282,P094,469,0.026
N011290,P094,3245,0.093
N011298,P208,1196,0.05
N011306,P005,1976,0.058
N011314,P005,2198,0.095
N011322,P249,1301,0.042
N011330,P200,690,0.032
N011338,P002,2174,0.079
N011346,P094,1765,0.057
N011354,P028,1552,0.054
N011362,P020,2472,0.061
N011370,P013,62,0.024
N011378,P195,1217,0.033
N011386,P075,776,0.034
N011394,P094,1480,0.053
N011402,P003,1778,0.079
N011410,P001,1466,0.062
N011418,P114,98,0.018
N011426,P001,2392,0.084
N011434,P006,1556,0.077
N011442,P006,1741,0.077
N011450,P228,2032,0.059
N011458,P002,2240,0.103
N011466,P044,1617,0.067
N011474,P094,1411,0.042
N011482,P001,2095,0.072
N011490,P049,1533,0.061
N011498,P020,1094,0.039
N011506,P003,1630,0.057
N011514,P094,1205,0.042
N011522,P091,1465,0.041
N011530,P002,2065,0.087
N011538,P001,2261,0.117
N011546,P028,1310,0.047
N011554,P031,2063,0.049
N011562,P026,1987,0.064
N011570,P020,1061,0.041
N011578,P020,729,0.035
N011586,P004,998,0.036
N011594,P004,733,0.033
N011602,P096,953,0.034
N011610,P013,45,0.014
N011618,P011,162,0.012
N011626,P002,1614,0.055
N011634,P219,2521,0.063
N011642,P004,1572,0.076
N011650,P001,2398,0.123
N011658,P004,1637,0.085
N011666,P003,1643,0.07
N011674,P172,2133,0.055
N011682,P004,1461,0.064
N011690,P130,2592,0.066
N011698,P136,2760,0.073
N011706,P002,2253,0.111
N011714,P168,2004,0.061
N011722,P006,1369,0.055
N011730,P207,1155,0.042
N011738,P065,1922,0.045
N011746,P001,2284,0.1
N011754,P094,1109,0.046
N011762,P099,2082,0.061
N011770,P004,389,0.033
N011778,P098,2100,0.049
N011786,P020,497,0.03
N011794,P002,1746,0.062
N011802,P005,2234,0.108
N011810,P001,1401,0.068
N011818,P006,1243,0.065
N011826,P020,2133,0.052
N011834,P094,2732,0.074
N011842,P003,1590,0.063
N011850,P240,162,0.026
N011858,P049,230,0.015
N011866,P202,2286,0.05
N011874,P003,1016,0.047
N011882,P099,2539,0.069
N011890,P235,2175,0.06
N011898,P094,668,0.041
N011906,P179,1664,0.051
N011914,P001,2302,0.099
N011922,P094,1975,0.053
N011930,P006,1769,0.082
N011938,P174,2083,0.06
N011946,P111,1235,0.039
N011954,P006,765,0.037
N011962,P001,2136,0.08
N011970,P002,2293,0.098
N011978,P106,2238,0.071
N011986,P189,2344,0.07
N011994,P160,1158,0.044
N000003,P002,2237,0.088
N000011,P240,1573,0.058
N000019,P228,1219,0.041
N000027,P094,2321,0.058
N000035,P180,1283,0.046
N000043,P189,1555,0.05
N000051,P215,2000,0.05
N000059,P094,855,0.032
N000067,P002,2202,0.085
N000075,P064,1102,0.037
N000083,P094,671,0.034
N000091,P005,2376,0.109
N000099,P240,2178,0.058
N000107,P005,1036,0.052
N000115,P002,1595,0.059
N000123,P235,1956,0.063
N000131,P005,2263,0.1
N000139,P113,1138,0.039
N000147,P044,724,0.037
N000155,P094,1372,0.033
N000163,P049,1321,0.037
N000171,P001,2214,0.092
N000179,P088,519,0.034
N000187,P238,1945,0.039
N000195,P136,1599,0.048
N000203,P094,994,0.038
N000211,P094,1748,0.046
N000219,P215,1536,0.046
N000227,P044,946,0.033
N000235,P002,2359,0.123
N000243,P182,1952,0.055
N000251,P006,1619,0.071
N000259,P055,2398,0.066
N000267,P094,2674,0.079
N000275,P200,527,0.032
N000283,P097,2289,0.048
N000291,P006,1392,0.065
N000299,P094,425,0.027
N000307,P002,2329,0.08
N000315,P005,2251,0.119
N000323,P170,1197,0.05
N000331,P094,844,0.027
N000339,P165,1470,0.037
N000347,P044,2826,0.075
N000355,P003,1096,0.052
N000363,P003,934,0.037
N000371,P013,99,0.015
N000379,P013,127,0.012
N000387,P005,2203,0.087
N000395,P003,560,0.036
N000403,P228,1506,0.052
N000411,P036,739,0.037
N000419,P215,581,0.026
N000427,P240,2041,0.05
N000435,P001,2668,0.118
N000443,P002,2083,0.098
N000451,P028,652,0.037
N000459,P044,2580,0.067
N000467,P005,2269,0.104
N000475,P146,305,0.031
N000483,P215,974,0.03
N000491,P004,1472,0.05
N000499,P004,500,0.03
N000507,P094,1660,0.041
N000515,P002,2205,0.088
N000523,P005,2222,0.112
N000531,P094,1649,0.055
N000539,P059,605,0.028
N000547,P002,1574,0.052
N000555,P003,1631,0.079
N000563,P006,1287,0.056
N000571,P041,871,0.033
N000579,P004,1708,0.069
N000587,P006,1797,0.087
N000595,P165,1115,0.045
N000603,P094,522,0.028
N000611,P091,1138,0.033
N000619,P258,1205,0.042
N000627,P094,631,0.029
N000635,P003,1327,0.053
N000643,P001,2271,0.11
N000651,P003,1374,0.071
N000659,P005,2068,0.112
N000667,P006,1629,0.075
N000675,P006,1644,0.056
N000683,P043,1707,0.059
N000691,P006,1080,0.045
N000699,P006,1772,0.075
N000707,P089,1310,0.054
N000715,P141,1457,0.047
N000723,P003,673,0.037
N000731,P002,1617,0.064
N000739,P004,1483,0.061
N000747,P003,1141,0.045
N000755,P112,898,0.028
N000763,P167,2137,0.051
N000771,P021,1312,0.043
N000779,P020,1210,0.036
N000787,P030,2453,0.069
N000795,P138,2208,0.057
N000803,P103,2691,0.069
N000811,P124,1272,0.045
N000819,P004,1222,0.037
N000827,P077,2195,0.055
N000835,P044,2193,0.05
N000843,P001,1417,0.061
N000851,P005,2098,0.075
N000859,P041,997,0.043
N000867,P006,1916,0.063
N000875,P094,1197,0.041
N000883,P004,1011,0.046
N000891,P005,2237,0.09
N000899,P006,1163,0.104
N000907,P146,1276,0.055
N000915,P003,1376,0.069
N000923,P004,1878,0.087
N000931,P146,362,0.026
N000939,P044,347,0.02
N000947,P005,2410,0.114
N000955,P162,1967,0.057
N000963,P207,887,0.037
N000971,P001,1941,0.055
N000979,P209,74,0.022
N000987,P094,557,0.021
N000995,P151,386,0.016
N001003,P183,1672,0.047
N001011,P255,1193,0.047
N001019,P200,1991,0.047
N001027,P061,1959,0.047
N001035,P006,777,0.043
N001043,P144,1446,0.05
N001051,P195,1292,0.037
N001059,P094,2544,0.069
N001067,P241,2095,0.058
N001075,P006,1704,0.071
N001083,P181,1180,0.051
N001091,P094,1089,0.035
N001099,P004,1061,0.041
N001107,P006,900,0.038
N001115,P001,2280,0.105
N001123,P094,2123,0.058
N001131,P207,968,0.045
N001139,P229,2278,0.056
N001147,P035,2056,0.051
N001155,P088,2002,0.063
N001163,P207,1905,0.046
N001171,P006,1763,0.082
N001179,P005,1740,0.07
N001187,P053,2218,0.369
N001195,P094,1333,0.065
N001203,P094,536,0.03
N001211,P181,1660,0.055
N001219,P136,732,0.036
N001227,P227,678,0.043
N001235,P183,2521,0.095
N001243,P002,2098,0.127
N001251,P181,472,0.037
N001259,P246,674,0.035
N001267,P094,616,0.03
N001275,P005,2226,0.104
N001283,P181,1858,0.075
N001291,P191,1483,0.05
N001299,P006,841,0.043
N001307,P167,649,0.031
N001315,P183,1542,0.053
N001323,P013,120,0.02
N001331,P073,1009,0.034
N001339,P004,1043,0.047
N001347,P088,2269,0.055
N001355,P238,1001,0.052
N001363,P002,2110,0.095
N001371,P005,2253,0.109
N001379,P255,1081,0.049
N001387,P191,758,0.029
N001395,P001,2092,0.065
N001403,P002,2106,0.086
N001411,P223,985,0.045
N001419,P006,1349,0.048
N001427,P094,949,0.035
N001435,P088,1223,0.042
N001443,P003,1678,0.076
N001451,P064,1959,0.053
N001459,P001,2290,0.112
N001467,P181,2429,0.071
N001475,P004,1703,0.229
N001483,P225,1915,0.055
N001491,P003,1143,0.063
N001499,P006,1554,0.069
N001507,P014,2406,0.064
N001515,P207,2848,0.081
N001523,P006,1389,0.073
N001531,P181,1316,0.054
N001539,P044,608,0.028
N001547,P120,1915,0.04
N001555,P003,1458,0.065
N001563,P002,2351,0.123
N001571,P240,2018,0.065
N001579,P242,717,0.037
N001587,P041,1717,0.052
N001595,P003,1059,0.051
N001603,P006,750,0.041
N001611,P023,1557,0.049
N001619,P094,215,0.023
N001627,P240,2985,0.079
N001635,P038,2327,0.065
N001643,P242,634,0.036
N001651,P001,1579,0.058
N001659,P232,2961,0.098
N001667,P044,1279,0.054
N001675,P003,1511,0.057
N001683,P004,1688,0.068
N001691,P006,1618,0.075
N001699,P003,1617,0.064
N001707,P099,2688,0.072
N001715,P053,2286,0.064
N001723,P003,1507,0.072
N001731,P094,1172,0.045
N001739,P094,957,0.039
N001747,P004,1722,0.07
N001755,P005,2406,0.108
N001763,P232,579,0.039
N001771,P128,2554,0.072
N001779,P231,1843,0.066
N001787,P094,1356,0.051
N001795,P094,1018,0.039
N001803,P181,628,0.038
N001811,P001,2123,0.082
N001819,P005,2166,0.094
N001827,P003,1394,0.051
N001835,P002,2158,0.083
N001843,P240,871,0.038
N001851,P003,1164,0.053
N001859,P047,2195,0.054
N001867,P094,730,0.038
N001875,P006,1733,0.063
N001883,P003,1301,0.071
N001891,P094,1376,0.04
N001899,P136,1067,0.045
N001907,P172,570,0.03
N001915,P232,2649,0.069
N001923,P003,972,0.052
N001931,P005,2257,0.121
N001939,P053,446,0.035
N001947,P185,3071,0.079
N001955,P006,800,0.056
N001963,P239,1168,0.033
N001971,P004,1680,0.065
N001979,P094,839,0.033
N001987,P094,1040,0.03
N001995,P005,1520,0.066
N002003,P004,1355,0.059
N002011,P003,1162,0.047
N002019,P006,1905,0.083
N002027,P214,455,0.028
N002035,P141,981,0.036
N002043,P054,614,0.036
N002051,P094,2594,0.065
N002059,P001,2182,0.093
N002067,P048,2005,0.052
N002075,P241,660,0.032
N002083,P013,107,0.013
N002091,P001,2358,0.091
N002099,P004,1470,0.065
N002107,P235,765,0.036
N002115,P094,2438,0.082
N002123,P094,2663,0.071
N002131,P001,2215,0.108
N002139,P163,616,0.04
N002147,P005,2310,0.106
N002155,P002,2348,0.096
N002163,P004,1255,0.065
N002171,P117,153,0.018
N002179,P181,1934,0.037
N002187,P001,1439,0.062
N002195,P002,2260,0.102
N002203,P163,471,0.033
N002211,P180,470,0.018
N002219,P002,2121,0.102
N002227,P094,1971,0.06
N002235,P002,1571,0.073
N002243,P001,2310,0.126
N002251,P006,571,0.043
N002259,P028,743,0.025
N002267,P176,2013,0.046
N002275,P189,2126,0.052
N002283,P001,2252,0.1
N002291,P005,2430,0.128
N002299,P001,2166,0.098
N002307,P006,249,0.027
N002315,P001,2442,0.116
N002323,P020,1999,0.054
N002331,P002,2107,0.083
N002339,P181,1324,0.043
N002347,P006,1539,0.068
N002355,P094,507,0.027
N002363,P001,1556,0.053
N002371,P001,2148,0.077
N002379,P255,880,0.037
N002387,P094,2185,0.049
N002395,P214,2592,0.068
N002403,P240,467,0.032
N002411,P016,118,0.011
N002419,P178,1716,0.035
N002427,P001,2141,0.086
N002435,P094,1145,0.044
N002443,P117,95,0.013
N002451,P003,1660,0.06
N002459,P215,2069,0.057
N002467,P020,673,0.033
N002475,P003,1194,0.051
N002483,P006,1395,0.046
N002491,P004,1695,0.068
N002499,P144,1498,0.054
N002507,P094,2591,0.089
N002515,P094,490,0.034
N002523,P063,2730,0.063
N002531,P006,1702,0.074
N002539,P004,893,0.045
N002547,P129,2309,0.052
N002555,P005,2099,0.08
N002563,P210,2172,0.059
N002571,P003,822,0.047
N002579,P084,184,0.017
N002587,P001,2205,0.089
N002595,P184,346,0.031
N002603,P006,1074,0.037
N002611,P221,141,0.016
N002619,P005,2474,0.094
N002627,P181,1484,0.055
N002635,P094,2615,0.06
N002643,P240,2327,0.069
N002651,P215,2652,0.072
N002659,P185,699,0.04
N002667,P003,704,0.034
N002675,P064,2655,0.064
N002683,P002,2155,0.083
N002691,P002,1378,0.056
N002699,P006,1474,0.055
N002707,P006,1970,0.093
N002715,P227,1804,0.055
N002723,P235,2927,0.075
N002731,P044,2473,0.077
N002739,P094,3072,0.096
N002747,P020,294,0.033
N002755,P181,1180,0.029
N002763,P205,1764,0.041
N002771,P005,2130,0.076
N002779,P004,1085,0.05
N002787,P006,833,0.033
N002795,P239,2640,0.068
N002803,P240,2440,0.069
N002811,P162,1972,0.053
N002819,P004,1101,0.055
N002827,P240,1915,0.055
N002835,P105,825,0.035
N002843,P191,1753,0.048
N002851,P217,174,0.021
N002859,P250,685,0.025
N002867,P065,1374,0.037
N002875,P002,2084,0.074
N002883,P037,214,0.025
N002891,P181,337,0.017
N002899,P094,1091,0.031
N002907,P094,2100,0.046
N002915,P084,184,0.025
N002923,P002,2408,0.118
N002931,P107,127,0.025
N002939,P002,1233,0.049
N002947,P002,2185,0.074
N002955,P001,1918,0.099
N002963,P232,626,0.037
N002971,P004,1164,0.047
N002979,P004,1383,0.044
N002987,P002,2396,0.19
N002995,P252,2555,0.087
N003003,P006,1076,0.059
N003011,P020,2242,0.053
N003019,P005,2297,0.121
N003027,P006,1526,0.068
N003035,P003,1562,0.075
N003043,P006,881,0.044
N003051,P001,2476,0.126
N003059,P094,1911,0.054
N003067,P005,2310,0.124
N003075,P044,1520,0.053
N003083,P181,443,0.027
N003091,P001,2134,0.072
N003099,P065,3354,0.109
N003107,P006,1179,0.066
N003115,P136,1242,0.046
N003123,P181,298,0.02
N003131,P052,915,0.026
N003139,P005,2197,0.095
N003147,P002,2472,0.138
N003155,P006,1810,0.083
N003163,P069,3105,0.085
N003171,P215,774,0.046
N003179,P013,105,0.014
N003187,P211,1498,0.044
N003195,P180,1520,0.048
N003203,P001,2019,0.24
N003211,P003,770,0.098
N003219,P215,2082,0.088
N003227,P094,2019,0.108
N003235,P094,2169,0.108
N003243,P104,1729,0.109
N003251,P094,1580,0.08
N003259,P002,2316,0.182
N003267,P160,315,0.055
N003275,P257,1956,0.064
N003283,P073,2291,0.183
N003291,P216,685,0.11
N003299,P020,715,0.057
N003307,P002,2448,0.308
N003315,P094,3337,0.142
N003323,P073,505,0.047
N003331,P094,1166,0.034
N003339,P020,2113,0.058
N003347,P069,1330,0.074
N003355,P003,1313,0.064
N003363,P001,2186,0.095
N003371,P126,59,0.023
N003379,P013,170,0.012
N003387,P038,614,0.027
N003395,P004,1587,0.064
N003403,P002,2199,0.107
N003411,P040,1542,0.064
N003419,P036,1458,0.044
N003427,P125,962,0.034
N003435,P249,2667,0.069
N003443,P094,986,0.042
N003451,P240,1069,0.032
N003459,P006,1464,0.065
N003467,P071,1430,0.045
N003475,P005,2259,0.116
N003483,P020,1142,0.048
N003491,P094,1913,0.059
N003499,P004,1313,0.048
N003507,P002,2513,0.128
N003515,P001,2483,0.118
N003523,P001,2076,0.075
N003531,P003,1029,0.052
N003539,P020,2819,0.083
N003547,P002,1743,0.08
N003555,P002,2240,0.09
N003563,P003,1528,0.067
N003571,P240,2277,0.055
N003579,P094,1154,0.05
N003587,P141,1189,0.036
N003595,P005,2195,0.095
N003603,P003,1541,0.057
N003611,P235,2514,0.072
N003619,P094,1611,0.053
N003627,P002,2239,0.11
N003635,P005,2235,0.103
N003643,P003,1488,0.054
N003651,P136,1986,0.047
N003659,P002,2280,0.114
N003667,P094,151,0.029
N003675,P005,1559,0.053
N003683,P240,544,0.029
N003691,P003,679,0.031
N003699,P003,1455,0.044
N003707,P235,3344,0.107
N003715,P005,1914,0.089
N003723,P240,1593,0.054
N003731,P005,1903,0.078
N003739,P004,1711,0.073
N003747,P003,1495,0.067
N003755,P002,1798,0.083
N003763,P004,996,0.043
N003771,P003,1637,0.061
N003779,P094,599,0.032
N003787,P094,577,0.025
N003795,P002,2073,0.088
N003803,P183,1174,0.052
N003811,P002,2274,0.079
N003819,P006,901,0.048
N003827,P004,1284,0.056
N003835,P115,1924,0.057
N003843,P094,1651,0.059
N003851,P006,818,0.041
N003859,P002,1976,0.079
N003867,P094,466,0.033
N003875,P240,3216,0.086
N003883,P006,949,0.049
N003891,P005,1997,0.088
N003899,P094,1509,0.047
N003907,P002,2224,0.111
N003915,P094,2502,0.08
N003923,P006,1071,0.049
N003931,P001,1961,0.075
N003939,P116,2156,0.063
N003947,P240,1829,0.063
N003955,P002,2102,0.102
N003963,P005,2005,0.078
N003971,P183,2318,0.061
N003979,P094,1124,0.037
N003987,P008,2017,0.047
N003995,P002,2455,0.098
N004003,P232,1331,0.055
N004011,P001,2236,0.103
N004019,P005,1534,0.061
N004027,P240,1006,0.04
N004035,P096,1739,0.045
N004043,P006,495,0.032
N004051,P094,1107,0.03
N004059,P217,2309,0.055
N004067,P094,808,0.037
N004075,P004,1451,0.052
N004083,P240,2353,0.057
N004091,P094,702,0.039
N004099,P194,2718,0.06
N004107,P006,936,0.046
N004115,P227,2035,0.044
N004123,P081,947,0.034
N004131,P238,2153,0.042
N004139,P095,1248,0.037
N004147,P004,951,0.046
N004155,P084,178,0.015
N004163,P005,2140,0.086
N004171,P099,2365,0.076
N004179,P246,1203,0.051
N004187,P240,1171,0.028
N004195,P006,1370,0.042
N004203,P094,466,0.027
N004211,P039,1207,0.031
N004219,P002,2301,0.109
N004227,P200,1866,0.054
N004235,P147,2919,0.073
N004243,P090,157,0.028
N004251,P094,2999,0.068
N004259,P094,1991,0.057
N004267,P001,2386,0.117
N004275,P147,1722,0.062
N004283,P006,1630,0.074
N004291,P005,1691,0.072
N004299,P003,1429,0.056
N004307,P094,871,0.03
N004315,P004,1714,0.064
N004323,P061,1996,0.049
N004331,P020,1927,0.049
N004339,P252,1368,0.036
N004347,P207,1209,0.037
N004355,P002,2189,0.088
N004363,P020,1104,0.047
N004371,P203,2144,0.049
N004379,P005,2113,0.078
N004387,P240,3109,0.098
N004395,P215,2175,0.069
N004403,P006,1685,0.077
N004411,P039,1621,0.059
N004419,P005,2260,0.108
N004427,P001,2201,0.113
N004435,P002,2433,0.102
N004443,P005,2157,0.086
N004451,P002,2345,0.132
N004459,P011,249,0.029
N004467,P094,1791,0.051
N004475,P232,134,0.02
N004483,P091,1023,0.029
N004491,P094,2345,0.053
N004499,P006,987,0.048
N004507,P145,73,0.013
